,RunDate,Planner,ItemGroup,Family_Code,Item,Site,Article_Desc,Vendor_Id,Vendor_Name,PO_index,PO_Week_Date,PO_Week,PO_Year,POs,Item_Volume,Volume,Wos,WOS_SS_Ratio,PO_Volume
0,2023-08-10 16:29:00.0000000,ETHAN,COCO II DINING_3000,509L,20080301005,3000,SERVER-509L-260-CHERRY-COCO II,20006201,RIVERSEDGE FURNITURE CO - HO CHI MI,1,2023-12-24,51,2023,40,27.4,1096,0.0,0.0,2373
1,2023-08-10 16:29:00.0000000,ETHAN,COCO II DINING_3000,509L,20080301002,3000,UPH SIDE CHR-509L-250-CHERRY-COCO II,20006201,RIVERSEDGE FURNITURE CO - HO CHI MI,1,2023-12-24,51,2023,336,3.8,1278,0.0,0.0,2373
2,2023-08-10 16:29:00.0000000,ETHAN,COCO II DINING_3000,509L,20080301002,3000,UPH SIDE CHR-509L-250-CHERRY-COCO II,20006201,RIVERSEDGE FURNITURE CO - HO CHI MI,2,2023-12-24,51,2023,625,3.8,2374,0.0,0.0,2375
3,2023-08-10 16:29:00.0000000,ETHAN,COCO II DINING_3000,509L,20080301005,3000,SERVER-509L-260-CHERRY-COCO II,20006201,RIVERSEDGE FURNITURE CO - HO CHI MI,3,2023-12-31,52,2023,28,27.4,767,0.0,0.0,2375
4,2023-08-10 16:29:00.0000000,ETHAN,COCO II DINING_3000,509L,20080301002,3000,UPH SIDE CHR-509L-250-CHERRY-COCO II,20006201,RIVERSEDGE FURNITURE CO - HO CHI MI,3,2023-12-31,52,2023,423,3.8,1606,0.0,0.0,2375
5,2023-08-10 16:29:00.0000000,ETHAN,COCO II DINING_3000,509L,20080301005,3000,SERVER-509L-260-CHERRY-COCO II,20006201,RIVERSEDGE FURNITURE CO - HO CHI MI,4,2024-01-07,1,2024,12,27.4,329,1.67,0.42,2373
6,2023-08-10 16:29:00.0000000,ETHAN,COCO II DINING_3000,509L,20080301002,3000,UPH SIDE CHR-509L-250-CHERRY-COCO II,20006201,RIVERSEDGE FURNITURE CO - HO CHI MI,4,2024-01-07,1,2024,538,3.8,2045,0.73,0.18,2373
